;fizikiai;1;szellemi;2;vegyes;3
szakterületi üzletkötő;1;;;;;
kontrolling munkatárs;2;;;;;
Termelési karbantartó;1;;;;;
beszerző;1;;;;;
gépjárművezető;1;;;;;
értékesítési ügyintéző;2;;;;;
lean navigátor;2;;;;;
diszponens;2;;;;;
ügyfélszolgálkati mts.;2;;;;;
food üzemvezető helyettes;2;;;;;
konyhai dolgozó;1;;;;;
segédfelügyelő;1;;;;;
építőmérnök;2;;;;;
konzultáns;2;;;;;
logisztikai mérnök;2;;;;;
Customer service advisor;2;;;;;
kötő;1;;;;;
szoftverfejlesztő;2;;;;;
pénztáros-eladó;1;;;;;
transzfervasaló;1;;;;;
vevőszolgálati munkatárs;2;;;;;
kiemelt ügyfélkapcsolati menedzser;2;;;;;
HR Business Partner;2;;;;;
marketing menedzser;2;;;;;
Togo szakeladó;1;;;;;
irodai ügyintéző;2;;;;;
hatósági előadó;2;;;;;
Áruvédelemért felelős munkatárs;2;;;;;
étteremvezető gyakornok;1;;;;;
regionális értékesítési vezető;2;;;;;
gépész létesítmény vezető;2;;;;;
targoncás;1;;;;;
Üzemi anyagmozgató;1;;;;;
Foglalkozástartó;1;;;;;
üzemeltetési osztályvezető;2;;;;;
munkaügyi előadó;2;;;;;
gyakornok;2;;;;;
pizza-grill eladó;1;;;;;
projekt menedzser;2;;;;;
első eladó;1;;;;;
junior áruellátó manager;2;;;;;
villamos mérnök;3;;;;;
HR adminisztrációs partner;2;;;;;
ellátási lánc készletgazda;2;;;;;
Group &Event Sales Manager;2;;;;;
általános irodai adminisztrátor;2;;;;;
anyagbeszerző;2;;;;;
hús-halpult eladó;1;;;;;
Lean navigátor;2;;;;;
Főosztályvezető;2;;;;;
gépészmérnök;2;;;;;
informatikai fejlesztő referens;2;;;;;
Stratégiai szakértő/ NKA programiroda vezető;2;;;;;
rendszertámogató;2;;;;;
árukiadó;1;;;;;
zöldség / gyümölcs raktáros;1;;;;;
bérelszámoló és tárgyi eszköz könyvelő;2;;;;;
kereskedemi ügyintéző;2;;;;;
gépjárművezető, raktáros;1;;;;;
termeléstámogató mérnök;2;;;;;
Programvezető;2;;;;;
projekt manager;2;;;;;
telemarketinges;2;;;;;
E-ker előkészítő;1;;;;;
vevő kapcsolattartó;2;;;;;
ISP és E ker értékesítési koordinátor;2;;;;;
ügyvezető igazgató helyettes;2;;;;;
lean manager;2;;;;;
adatelemző;2;;;;;
pénzügyi adminisztrátor;2;;;;;
segéd;1;;;;;
front office supervisor;2;;;;;
elektrotechnikus;1;;;;;
logisztikai adminisztrátor;2;;;;;
irodai alkalmazott;2;;;;;
recepciós asszisztens;2;;;;;
general manager;2;;;;;
fejlesztőmérnök;2;;;;;
Henkel/Művezető;2;;;;;
futár;1;;;;;
gépkocsivezető, áru terítő;1;;;;;
építészmérnök;2;;;;;
E-COM csoportvezető;1;;;;;
Varrónő;1;;;;;
Műszaki osztályvezető;2;;;;;
Country Sales Director;2;;;;;
Webshop készlet ellenőr;2;;;;;
tekercselő;1;;;;;
karbantartási csoportvezető;1;;;;;
szerviztechnikus;1;;;;;
szoftver fejlesztő;2;;;;;
kézi csomagoló;1;;;;;
villamos létesítmény vezető;1;;;;;
Male;0;;;;;
Többes munkakör: termékfelelős eladó (friss szektor);1;;;;;
vezető mérnök;2;;;;;
igénytervezési csoportvezető;2;;;;;
fuvarszervező;2;;;;;
Business system and solution Manager;2;;;;;
tehergépkocsi vezető, áru terítő;1;;;;;
biztonsái diszpécser (security dispatcher);2;;;;;
pénzügy és kontrolling vezető;2;;;;;
Food and Beverage Manager;2;;;;;
szoftver eszközgazda;2;;;;;
Vevőszolgálati pénztár host / hostess;2;;;;;
pénzügyi elemző;2;;;;;
Előkészítő munkatárs;1;;;;;
Belsőépítész és környezettervező művész MA;2;;;;;
mosogató;1;;;;;
beszerzési menedzser;2;;;;;
konyhafőnök;1;;;;;
ügyfélkapcsolati munkatárs;2;;;;;
Real Estate Manager;2;;;;;
office manager;2;;;;;
E-ker. komissiózó munkatárs;1;;;;;
Karosszéria lakatos;1;;;;;
elemző szakreferens;2;;;;;
Elektronikai technikus;2;;;;;
üzleti asszisztens;2;;;;;
Belsőépítészeti főmunkatárs;2;;;;;
kapacitás tervező;2;;;;;
Számítógépes grafikus;2;;;;;
kőműves;1;;;;;
Cukrász tanuló;1;;;;;
Junior könyvelő asszisztens;2;;;;;
szolgálatvezető;2;;;;;
tanácsadó;2;;;;;
E-kereskedelmi szállítási koordinátor;1;;;;;
Frissességi szerződés felelős;1;;;;;
Pénzügyi üzleti partner;2;;;;;
HR asszisztens;2;;;;;
Infrastruktúra/Karbantartó;1;;;;;
Junior beszerzési munkatárs;2;;;;;
építésvezető, gépkezelő;1;;;;;
ISP Áruátvevő-raktáros;1;;;;;
Store Manager;2;;;;;
Junior Digital Marketing Assosiate;2;;;;;
costumer service representative;2;;;;;
junior marketing munkatárs;2;;;;;
vezető;2;;;;;
Junior adózási munkatárs;2;;;;;
anyagmozgató;1;;;;;
Togo szakeladó pénztáros;1;;;;;
műszaki ellenőr;2;;;;;
3D artist;1;;;;;
Supply Chain Program manager;2;;;;;
ügyféllogisztikai vezető;2;;;;;
eladó-adminisztrátor;1;;;;;
irodai szakmai irányító;3;;;;;
Áruház Igazgató;2;;;;;
termelési koordinátor;2;;;;;
Iratkezelési előadó;2;;;;;
értékeítési vezető;2;;;;;
adminisztratív asszisztens;2;;;;;
áruházi készletgazdálkodási vezető;2;;;;;
Piackutató, reklám és marketing tevékenységet tervező, szervező;2;;;;;
E-ker csoportvezető;2;;;;;
Üzletfejlesztési menedzser;2;;;;;
biztonsági referens;2;;;;;
Credit Manager;2;;;;;
Contact Center Specialist;2;;;;;
adatszolgáltatási referens;2;;;;;
raktáros feladatok ellátása;1;;;;;
előkészítő;1;;;;;
udvari takarító és kisegítő;1;;;;;
Raktáros-targoncás;1;;;;;
Műszaki csoportvezető;2;;;;;
